cqlsh> SELECT * FROM timur.task4 WHERE NAME = 'Ivan' ALLOW FILTERING;

 id | dept_name | name
----+-----------+------

(0 rows)

Tracing session: 386fcb40-1054-11eb-a2f3-41899bc8b0fd

 activity                                                                                                                    | timestamp                  | source        | source_elapsed | client
-----------------------------------------------------------------------------------------------------------------------------+----------------------------+---------------+----------------+-------------
                                                                                                          Execute CQL3 query | 2020-10-17 08:39:07.508000 |   172.31.78.3 |              0 | 172.31.78.3
                        Parsing SELECT * FROM timur.task4 WHERE NAME = 'Ivan' ALLOW FILTERING; [Native-Transport-Requests-1] | 2020-10-17 08:39:07.508000 |   172.31.78.3 |            304 | 172.31.78.3
                                                                           Preparing statement [Native-Transport-Requests-1] | 2020-10-17 08:39:07.508000 |   172.31.78.3 |            504 | 172.31.78.3
                                                                     Computing ranges to query [Native-Transport-Requests-1] | 2020-10-17 08:39:07.510000 |   172.31.78.3 |           2434 | 172.31.78.3
 Submitting range requests on 769 ranges with a concurrency of 1 (0.0 rows per range expected) [Native-Transport-Requests-1] | 2020-10-17 08:39:07.511000 |   172.31.78.3 |           2733 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.511000 |   172.31.75.9 |             17 | 172.31.78.3
                                                         Submitted 1 concurrent range requests [Native-Transport-Requests-1] | 2020-10-17 08:39:07.511000 |   172.31.78.3 |           2901 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.511000 |   172.31.75.9 |            255 | 172.31.78.3
               Executing seq scan across 0 sstables for (min(-9223372036854775808), max(-9219472295650136953)] [ReadStage-3] | 2020-10-17 08:39:07.511000 |   172.31.78.3 |           3004 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.511000 |   172.31.75.9 |            363 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.511000 |   172.31.75.9 |            435 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-9141377318625557785), max(-9037971070380856285)] [ReadStage-1] | 2020-10-17 08:39:07.512000 |   172.31.75.9 |            835 | 172.31.78.3
                                                                      Read 220 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 08:39:07.513000 |   172.31.78.3 |           5443 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8939572127585578196), max(-8864316878286440625)] [ReadStage-3] | 2020-10-17 08:39:07.513000 |   172.31.75.9 |           2375 | 172.31.78.3
                                     Didn't get any response rows; new concurrent requests: 20 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.514000 |   172.31.78.3 |           5584 | 172.31.78.3
                                                           Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.514000 |   172.31.78.3 |           5736 | 172.31.78.3
                                                             Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.514000 |   172.31.78.3 |           5936 | 172.31.78.3
                                                           Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.514000 |   172.31.78.3 |           6068 | 172.31.78.3
                                                             Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.514000 |   172.31.78.3 |           6174 | 172.31.78.3
                                                           Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.514000 |   172.31.78.3 |           6259 | 172.31.78.3
                                                           Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.514001 |   172.31.78.3 |           6338 | 172.31.78.3
                                                             Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.514001 |   172.31.78.3 |           6402 | 172.31.78.3
                                                             Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.514001 |   172.31.78.3 |           6485 | 172.31.78.3
                                                        Submitted 13 concurrent range requests [Native-Transport-Requests-1] | 2020-10-17 08:39:07.515000 |   172.31.78.3 |           6548 | 172.31.78.3
               Executing seq scan across 0 sstables for (max(-9037971070380856285), max(-8964061038878422672)] [ReadStage-2] | 2020-10-17 08:39:07.515000 |   172.31.78.3 |           6723 | 172.31.78.3
                              Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 08:39:07.515000 |   172.31.78.3 |           6865 | 172.31.78.3
                              Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 08:39:07.515000 |   172.31.78.3 |           7085 | 172.31.78.3
                              Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 08:39:07.515000 |   172.31.78.3 |           7192 | 172.31.78.3
                              Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 08:39:07.515000 |   172.31.78.3 |           7271 | 172.31.78.3
               Executing seq scan across 0 sstables for (max(-8863046896138324844), max(-8837459838797178564)] [ReadStage-4] | 2020-10-17 08:39:07.515001 |   172.31.78.3 |           7446 | 172.31.78.3
               Executing seq scan across 0 sstables for (max(-8787260271478667831), max(-8758714373772827197)] [ReadStage-6] | 2020-10-17 08:39:07.516000 |   172.31.78.3 |           7810 | 172.31.78.3
               Executing seq scan across 0 sstables for (max(-8740087707893796828), max(-8729613095813447996)] [ReadStage-5] | 2020-10-17 08:39:07.518000 |   172.31.78.3 |           9711 | 172.31.78.3
                                  Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 08:39:07.520000 |   172.31.78.3 |          12019 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8810909035427940914), max(-8787260271478667831)] [ReadStage-5] | 2020-10-17 08:39:07.520000 |   172.31.75.9 |           8633 | 172.31.78.3
                                  Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 08:39:07.520000 |   172.31.78.3 |          12116 | 172.31.78.3
                                  Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 08:39:07.520000 |   172.31.78.3 |          12178 | 172.31.78.3
                                  Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 08:39:07.520000 |   172.31.78.3 |          12233 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8758714373772827197), max(-8740087707893796828)] [ReadStage-4] | 2020-10-17 08:39:07.521000 |   172.31.75.9 |           9890 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.524000 | 172.31.77.183 |            662 | 172.31.78.3
                                                                     Read 1376 live rows and 0 tombstone cells [ReadStage-4] | 2020-10-17 08:39:07.524000 |   172.31.78.3 |          15794 | 172.31.78.3
               Executing seq scan across 0 sstables for (max(-8824903023438500038), max(-8810909035427940914)] [ReadStage-3] | 2020-10-17 08:39:07.524000 |   172.31.78.3 |          15908 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-9219472295650136953), max(-9141377318625557785)] [ReadStage-1] | 2020-10-17 08:39:07.525000 | 172.31.77.183 |           2265 | 172.31.78.3
                                                                      Read 578 live rows and 0 tombstone cells [ReadStage-5] | 2020-10-17 08:39:07.526000 |   172.31.78.3 |          17909 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.539000 | 172.31.77.183 |          15775 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.539000 | 172.31.77.183 |          16059 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8964061038878422672), max(-8939572127585578196)] [ReadStage-3] | 2020-10-17 08:39:07.539000 | 172.31.77.183 |          16082 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.539001 | 172.31.77.183 |          16216 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8864316878286440625), max(-8863046896138324844)] [ReadStage-5] | 2020-10-17 08:39:07.543000 | 172.31.77.183 |          19796 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8837459838797178564), max(-8824903023438500038)] [ReadStage-6] | 2020-10-17 08:39:07.543000 | 172.31.77.183 |          19874 | 172.31.78.3
                            REQUEST_RESPONSE message received from /172.31.77.183 [MessagingService-Incoming-/172.31.77.183] | 2020-10-17 08:39:07.547000 |   172.31.78.3 |          38881 | 172.31.78.3
                                                                      Read 656 live rows and 0 tombstone cells [ReadStage-6] | 2020-10-17 08:39:07.548000 | 172.31.77.183 |          25237 | 172.31.78.3
                                                                      Read 788 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 08:39:07.548000 |   172.31.78.3 |          40355 | 172.31.78.3
                                                                     Read 1348 live rows and 0 tombstone cells [ReadStage-5] | 2020-10-17 08:39:07.548000 |   172.31.75.9 |          37107 | 172.31.78.3
                                                                            Enqueuing response to /172.31.78.3 [ReadStage-6] | 2020-10-17 08:39:07.548000 | 172.31.77.183 |          25586 | 172.31.78.3
                                                            Processing response from /172.31.77.183 [RequestResponseStage-3] | 2020-10-17 08:39:07.548000 |   172.31.78.3 |          40468 | 172.31.78.3
                             Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 08:39:07.549000 | 172.31.77.183 |          25912 | 172.31.78.3
                                                                     Read 1531 live rows and 0 tombstone cells [ReadStage-6] | 2020-10-17 08:39:07.550000 |   172.31.78.3 |          41545 | 172.31.78.3
                            REQUEST_RESPONSE message received from /172.31.77.183 [MessagingService-Incoming-/172.31.77.183] | 2020-10-17 08:39:07.551000 |   172.31.78.3 |          42969 | 172.31.78.3
                            REQUEST_RESPONSE message received from /172.31.77.183 [MessagingService-Incoming-/172.31.77.183] | 2020-10-17 08:39:07.551000 |   172.31.78.3 |          43068 | 172.31.78.3
                                                                     Read 1379 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 08:39:07.552000 | 172.31.77.183 |          29045 | 172.31.78.3
                                                                            Enqueuing response to /172.31.78.3 [ReadStage-3] | 2020-10-17 08:39:07.552000 | 172.31.77.183 |          29124 | 172.31.78.3
                             Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 08:39:07.552000 | 172.31.77.183 |          29304 | 172.31.78.3
                                                                       Read 67 live rows and 0 tombstone cells [ReadStage-5] | 2020-10-17 08:39:07.553000 | 172.31.77.183 |          30305 | 172.31.78.3
                                                                            Enqueuing response to /172.31.78.3 [ReadStage-5] | 2020-10-17 08:39:07.553000 | 172.31.77.183 |          30368 | 172.31.78.3
                             Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 08:39:07.553000 | 172.31.77.183 |          30596 | 172.31.78.3
                                                            Processing response from /172.31.77.183 [RequestResponseStage-4] | 2020-10-17 08:39:07.554000 |   172.31.78.3 |          45697 | 172.31.78.3
                                                                            Enqueuing response to /172.31.78.3 [ReadStage-5] | 2020-10-17 08:39:07.554000 |   172.31.75.9 |          42924 | 172.31.78.3
