cqlsh> TRACING ON;
Now Tracing is enabled
cqlsh> SELECT * FROM timur.task4_mv WHERE NAME = 'Ivan' AND dept_name = 'HR' ALLOW FILTERING;

 id | dept_name | name
----+-----------+------

(0 rows)

Tracing session: 366e2250-1069-11eb-a2f3-41899bc8b0fd

 activity                                                                                                                     | timestamp                  | source        | source_elapsed | client
------------------------------------------------------------------------------------------------------------------------------+----------------------------+---------------+----------------+-------------
                                                                                                           Execute CQL3 query | 2020-10-17 11:09:23.573000 |   172.31.78.3 |              0 | 172.31.78.3
 Parsing SELECT * FROM timur.task4_mv WHERE NAME = 'Ivan' AND dept_name = 'HR' ALLOW FILTERING; [Native-Transport-Requests-1] | 2020-10-17 11:09:23.573000 |   172.31.78.3 |            175 | 172.31.78.3
                                                                            Preparing statement [Native-Transport-Requests-1] | 2020-10-17 11:09:23.573000 |   172.31.78.3 |            321 | 172.31.78.3
                                                                      Computing ranges to query [Native-Transport-Requests-1] | 2020-10-17 11:09:23.573000 |   172.31.78.3 |            528 | 172.31.78.3
  Submitting range requests on 769 ranges with a concurrency of 1 (NaN rows per range expected) [Native-Transport-Requests-1] | 2020-10-17 11:09:23.574000 |   172.31.78.3 |            731 | 172.31.78.3
                                                          Submitted 1 concurrent range requests [Native-Transport-Requests-1] | 2020-10-17 11:09:23.574000 |   172.31.78.3 |            814 | 172.31.78.3
                Executing seq scan across 1 sstables for (min(-9223372036854775808), max(-9219472295650136953)] [ReadStage-3] | 2020-10-17 11:09:23.574000 |   172.31.78.3 |           1296 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 11:09:23.575000 |   172.31.78.3 |           1878 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.575000 |   172.31.75.9 |             30 | 172.31.78.3
                                      Didn't get any response rows; new concurrent requests: 20 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.575000 |   172.31.78.3 |           1959 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.575000 |   172.31.75.9 |            197 | 172.31.78.3
                                                            Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.575000 |   172.31.78.3 |           2002 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.575000 |   172.31.75.9 |            232 | 172.31.78.3
                                                              Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.575000 |   172.31.78.3 |           2040 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.575000 |   172.31.75.9 |            255 | 172.31.78.3
                                                            Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.575000 |   172.31.78.3 |           2093 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-9141377318625557785), max(-9037971070380856285)] [ReadStage-1] | 2020-10-17 11:09:23.575000 |   172.31.75.9 |            356 | 172.31.78.3
                                                              Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.575000 |   172.31.78.3 |           2124 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8939572127585578196), max(-8864316878286440625)] [ReadStage-2] | 2020-10-17 11:09:23.575000 |   172.31.75.9 |            440 | 172.31.78.3
                                                            Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.575001 |   172.31.78.3 |           2146 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-9037971070380856285), max(-8964061038878422672)] [ReadStage-4] | 2020-10-17 11:09:23.575001 |   172.31.78.3 |           2165 | 172.31.78.3
                                                            Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.575001 |   172.31.78.3 |           2174 | 172.31.78.3
                                                              Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.575001 |   172.31.78.3 |           2199 | 172.31.78.3
                                                              Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 11:09:23.575001 |   172.31.78.3 |           2225 | 172.31.78.3
                                                         Submitted 13 concurrent range requests [Native-Transport-Requests-1] | 2020-10-17 11:09:23.575001 |   172.31.78.3 |           2252 | 172.31.78.3
                                   Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 11:09:23.575001 |   172.31.78.3 |           2311 | 172.31.78.3
                                   Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 11:09:23.575001 |   172.31.78.3 |           2351 | 172.31.78.3
                                   Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 11:09:23.575001 |   172.31.78.3 |           2378 | 172.31.78.3
                                   Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 11:09:23.575002 |   172.31.78.3 |           2403 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8863046896138324844), max(-8837459838797178564)] [ReadStage-3] | 2020-10-17 11:09:23.575002 |   172.31.78.3 |           2485 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.578000 | 172.31.77.183 |             41 | 172.31.78.3
                               Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 11:09:23.578000 |   172.31.78.3 |           4803 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.578000 | 172.31.77.183 |            318 | 172.31.78.3
                               Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 11:09:23.578000 |   172.31.78.3 |           4854 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.578000 | 172.31.77.183 |            359 | 172.31.78.3
                               Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 11:09:23.578000 |   172.31.78.3 |           4880 | 172.31.78.3
                                      RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 11:09:23.578000 | 172.31.77.183 |            383 | 172.31.78.3
                               Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 11:09:23.578000 |   172.31.78.3 |           4904 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-9219472295650136953), max(-9141377318625557785)] [ReadStage-2] | 2020-10-17 11:09:23.578000 | 172.31.77.183 |            554 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 11:09:23.578000 |   172.31.78.3 |           5219 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8964061038878422672), max(-8939572127585578196)] [ReadStage-1] | 2020-10-17 11:09:23.578000 | 172.31.77.183 |            813 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8824903023438500038), max(-8810909035427940914)] [ReadStage-3] | 2020-10-17 11:09:23.578000 |   172.31.78.3 |           5262 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8787260271478667831), max(-8758714373772827197)] [ReadStage-5] | 2020-10-17 11:09:23.579000 |   172.31.78.3 |           5680 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8740087707893796828), max(-8729613095813447996)] [ReadStage-7] | 2020-10-17 11:09:23.579000 |   172.31.78.3 |           5757 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-7] | 2020-10-17 11:09:23.580000 |   172.31.78.3 |           7054 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-5] | 2020-10-17 11:09:23.581000 |   172.31.78.3 |           8602 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8810909035427940914), max(-8787260271478667831)] [ReadStage-3] | 2020-10-17 11:09:23.581000 |   172.31.75.9 |           6255 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-1] | 2020-10-17 11:09:23.582000 | 172.31.77.183 |           4022 | 172.31.78.3
                                                                             Enqueuing response to /172.31.78.3 [ReadStage-1] | 2020-10-17 11:09:23.582000 | 172.31.77.183 |           4069 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8864316878286440625), max(-8863046896138324844)] [ReadStage-4] | 2020-10-17 11:09:23.582000 | 172.31.77.183 |           4177 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-4] | 2020-10-17 11:09:23.582000 | 172.31.77.183 |           4420 | 172.31.78.3
                                                                             Enqueuing response to /172.31.78.3 [ReadStage-4] | 2020-10-17 11:09:23.582000 | 172.31.77.183 |           4445 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8837459838797178564), max(-8824903023438500038)] [ReadStage-3] | 2020-10-17 11:09:23.582000 | 172.31.77.183 |           4989 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 11:09:23.583000 |   172.31.78.3 |          10278 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-2] | 2020-10-17 11:09:23.583000 |   172.31.75.9 |           8779 | 172.31.78.3
                                                                             Enqueuing response to /172.31.78.3 [ReadStage-2] | 2020-10-17 11:09:23.583000 |   172.31.75.9 |           8830 | 172.31.78.3
                                                                         Read 0 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 11:09:23.584000 | 172.31.77.183 |           6278 | 172.31.78.3
                              Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 11:09:23.584000 |   172.31.75.9 |           8988 | 172.31.78.3
                                                                             Enqueuing response to /172.31.78.3 [ReadStage-3] | 2020-10-17 11:09:23.584000 | 172.31.77.183 |           6321 | 172.31.78.3
                Executing seq scan across 1 sstables for (max(-8758714373772827197), max(-8740087707893796828)] [ReadStage-4] | 2020-10-17 11:09:23.584000 |   172.31.75.9 |           9190 | 172.31.78.3
                              Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 11:09:23.584000 | 172.31.77.183 |           6510 | 172.31.78.3
